,Product,date,Sales,Discount,In-Store Promo,Catalogue Promo,Store End Promo,Google_Mobility,Covid_Flag,V_DAY,EASTER,CHRISTMAS,DayOfWeek,Quarter,WeekNum
0,SKU1,2017-02-05,27750,0.0,0,0,0,0.0,0,0,0,0,Sunday,1,5
1,SKU1,2017-02-12,29023,0.0,1,0,1,0.0,0,1,0,0,Sunday,1,6
2,SKU1,2017-02-19,45630,0.17,0,0,0,0.0,0,0,0,0,Sunday,1,7
3,SKU1,2017-02-26,26789,0.0,1,0,1,0.0,0,0,0,0,Sunday,1,8
4,SKU1,2017-03-05,41999,0.17,0,0,0,0.0,0,0,0,0,Sunday,1,9
5,SKU1,2017-03-12,29731,0.0,0,0,0,0.0,0,0,0,0,Sunday,1,10
6,SKU1,2017-03-19,27365,0.0,1,0,0,0.0,0,0,0,0,Sunday,1,11
7,SKU1,2017-03-26,27722,0.0,1,0,1,0.0,0,0,0,0,Sunday,1,12
8,SKU1,2017-04-02,44339,0.17,1,0,0,0.0,0,0,0,0,Sunday,2,13
9,SKU1,2017-04-09,54655,0.17,1,0,0,0.0,0,0,1,0,Sunday,2,14
10,SKU1,2017-04-16,108159,0.44,0,0,0,0.0,0,0,0,0,Sunday,2,15
11,SKU1,2017-04-23,30361,0.0,1,0,1,0.0,0,0,0,0,Sunday,2,16
12,SKU1,2017-04-30,42154,0.17,1,0,1,0.0,0,0,0,0,Sunday,2,17
13,SKU1,2017-05-07,39782,0.17,0,0,0,0.0,0,0,0,0,Sunday,2,18
14,SKU1,2017-05-14,29490,0.0,0,0,0,0.0,0,0,0,0,Sunday,2,19
15,SKU1,2017-05-21,25936,0.0,0,0,0,0.0,0,0,0,0,Sunday,2,20
16,SKU1,2017-05-28,26045,0.0,0,0,0,0.0,0,0,0,0,Sunday,2,21
17,SKU1,2017-06-04,25903,0.0,1,0,1,0.0,0,0,0,0,Sunday,2,22
18,SKU1,2017-06-11,43689,0.17,0,0,0,0.0,0,0,0,0,Sunday,2,23
19,SKU1,2017-06-18,25446,0.0,1,0,1,0.0,0,0,0,0,Sunday,2,24
20,SKU1,2017-06-25,42543,0.17,0,0,0,0.0,0,0,0,0,Sunday,2,25
21,SKU1,2017-07-02,27001,0.0,1,0,1,0.0,0,0,0,0,Sunday,3,26
22,SKU1,2017-07-09,45198,0.17,0,0,0,0.0,0,0,0,0,Sunday,3,27
23,SKU1,2017-07-16,28650,0.0,1,0,1,0.0,0,0,0,0,Sunday,3,28
24,SKU1,2017-07-23,42032,0.17,0,0,0,0.0,0,0,0,0,Sunday,3,29
25,SKU1,2017-07-30,27657,0.0,0,0,0,0.0,0,0,0,0,Sunday,3,30
26,SKU1,2017-08-06,26888,0.0,1,0,1,0.0,0,0,0,0,Sunday,3,31
27,SKU1,2017-08-13,46260,0.17,0,0,0,0.0,0,0,0,0,Sunday,3,32
28,SKU1,2017-08-20,29415,0.0,1,0,1,0.0,0,0,0,0,Sunday,3,33
29,SKU1,2017-08-27,50471,0.17,1,0,1,0.0,0,0,0,0,Sunday,3,34
30,SKU1,2017-09-03,49531,0.17,0,0,0,0.0,0,0,0,0,Sunday,3,35
31,SKU1,2017-09-10,30874,0.0,0,1,1,0.0,0,0,0,0,Sunday,3,36
32,SKU1,2017-09-17,82940,0.44,0,0,0,0.0,0,0,0,0,Sunday,3,37
33,SKU1,2017-09-24,34481,0.0,1,0,1,0.0,0,0,0,0,Sunday,3,38
34,SKU1,2017-10-01,96610,0.44,0,0,0,0.0,0,0,0,0,Sunday,4,39
35,SKU1,2017-10-08,31898,0.0,0,0,0,0.0,0,0,0,0,Sunday,4,40
36,SKU1,2017-10-15,33967,0.0,0,0,0,0.0,0,0,0,0,Sunday,4,41
37,SKU1,2017-10-22,33429,0.0,0,0,0,0.0,0,0,0,0,Sunday,4,42
38,SKU1,2017-10-29,34918,0.0,1,0,0,0.0,0,0,0,0,Sunday,4,43
39,SKU1,2017-11-05,104775,0.44,1,0,0,0.0,0,0,0,0,Sunday,4,44
40,SKU1,2017-11-12,57417,0.17,1,0,0,0.0,0,0,0,0,Sunday,4,45
41,SKU1,2017-11-19,60631,0.17,1,0,0,0.0,0,0,0,0,Sunday,4,46
42,SKU1,2017-11-26,64904,0.17,1,0,0,0.0,0,0,0,0,Sunday,4,47
43,SKU1,2017-12-03,66333,0.17,1,0,0,0.0,0,0,0,1,Sunday,4,48
44,SKU1,2017-12-10,71917,0.17,1,0,0,0.0,0,0,0,0,Sunday,4,49
45,SKU1,2017-12-17,94633,0.17,1,0,0,0.0,0,0,0,0,Sunday,4,50
46,SKU1,2017-12-24,155253,0.17,1,0,0,0.0,0,0,0,0,Sunday,4,51
47,SKU1,2017-12-31,89706,0.17,0,0,0,0.0,0,0,0,0,Sunday,4,52
48,SKU1,2018-01-07,41941,0.0,0,0,0,0.0,0,0,0,0,Sunday,1,1
49,SKU1,2018-01-14,37845,0.0,0,0,0,0.0,0,0,0,0,Sunday,1,2
50,SKU1,2018-01-21,43324,0.06,1,0,1,0.0,0,0,0,0,Sunday,1,3
51,SKU1,2018-01-28,65691,0.17,0,0,0,0.0,0,0,0,0,Sunday,1,4
52,SKU1,2018-02-04,35016,0.0,0,0,0,0.0,0,0,0,0,Sunday,1,5
53,SKU1,2018-02-11,33604,0.0,1,0,1,0.0,0,1,0,0,Sunday,1,6
54,SKU1,2018-02-18,55216,0.17,0,0,0,0.0,0,0,0,0,Sunday,1,7
55,SKU1,2018-02-25,33908,0.0,1,0,1,0.0,0,0,0,0,Sunday,1,8
56,SKU1,2018-03-04,51305,0.17,0,1,0,0.0,0,0,0,0,Sunday,1,9
57,SKU1,2018-03-11,91870,0.44,1,0,0,0.0,0,0,0,0,Sunday,1,10
58,SKU1,2018-03-18,51438,0.17,1,0,0,0.0,0,0,0,0,Sunday,1,11
59,SKU1,2018-03-25,54925,0.17,1,0,0,0.0,0,0,0,0,Sunday,1,12
60,SKU1,2018-04-01,79050,0.17,0,0,0,0.0,0,0,0,0,Sunday,2,13
61,SKU1,2018-04-08,35136,0.0,0,0,0,0.0,0,0,1,0,Sunday,2,14
62,SKU1,2018-04-15,34800,0.0,1,0,1,0.0,0,0,0,0,Sunday,2,15
63,SKU1,2018-04-22,56351,0.17,0,0,0,0.0,0,0,0,0,Sunday,2,16
64,SKU1,2018-04-29,34225,0.0,1,0,1,0.0,0,0,0,0,Sunday,2,17
65,SKU1,2018-05-06,49036,0.17,1,0,1,0.0,0,0,0,0,Sunday,2,18
66,SKU1,2018-05-13,52964,0.17,0,0,0,0.0,0,0,0,0,Sunday,2,19
67,SKU1,2018-05-20,34526,0.0,0,0,0,0.0,0,0,0,0,Sunday,2,20
68,SKU1,2018-05-27,33308,0.0,1,0,1,0.0,0,0,0,0,Sunday,2,21
69,SKU1,2018-06-03,49314,0.17,0,1,1,0.0,0,0,0,0,Sunday,2,22
70,SKU1,2018-06-10,84075,0.44,0,0,0,0.0,0,0,0,0,Sunday,2,23
71,SKU1,2018-06-17,32223,0.0,0,0,0,0.0,0,0,0,0,Sunday,2,24
72,SKU1,2018-06-24,32463,0.0,1,0,1,0.0,0,0,0,0,Sunday,2,25
73,SKU1,2018-07-01,51818,0.17,0,0,0,0.0,0,0,0,0,Sunday,3,26
74,SKU1,2018-07-08,35597,0.0,0,0,0,0.0,0,0,0,0,Sunday,3,27
75,SKU1,2018-07-15,35354,0.0,0,0,0,0.0,0,0,0,0,Sunday,3,28
76,SKU1,2018-07-22,35191,0.0,0,0,0,0.0,0,0,0,0,Sunday,3,29
77,SKU1,2018-07-29,33057,0.0,0,0,0,0.0,0,0,0,0,Sunday,3,30
